CustomerID,CustomerPhoneNumber
707681,648-233-8584
906944,534-214-2440
63981,005-693-0543
506564,830-722-0794
722329,274-460-6286
910912,100-856-3472
300415,802-507-5320
275419,478-253-6820
382957,163-409-3112
66882,403-038-8397
42607,711-789-9097
488100,974-632-0268
506396,799-877-5184
541963,251-271-5658
344971,551-520-4611
342114,302-143-7771
425822,706-330-2068
431266,924-315-8191
186619,662-566-8588
764055,864-945-8596
50994,642-735-5789
890152,695-991-1626
436445,513-318-2275
448667,258-274-8417
784571,827-006-8799
534562,040-255-3202
618810,711-103-3837
587610,180-944-9295
158454,934-199-6039
752323,376-428-3561
61708,019-064-3172
898578,414-151-1950
617020,372-964-5170
484596,538-523-3431
709028,063-436-2693
892225,565-669-6606
61794,893-061-4460
448003,179-249-4183
39323,180-644-1921
207085,622-660-5465
261470,273-437-2271
290539,632-695-8610
342570,907-894-6500
578054,602-804-1473
93393,266-238-0909
683330,061-991-4749
583438,966-273-1888
830358,250-155-7547
509759,179-582-2082
890445,499-005-2538
668553,309-360-3780
624978,969-834-9492
146634,752-115-4037
156979,532-578-8972
60675,864-593-8670
746567,159-627-6697
289575,312-580-3450
621631,182-672-7126
587747,524-770-8940
384778,682-857-3620
801444,057-755-5948
763539,274-707-6082
733962,445-067-3133
125882,177-109-3599
281570,006-125-0869
358333,908-905-7921
775786,398-059-7281
301782,724-395-0205
959193,554-023-0036
92272,611-854-4495
505449,127-481-4147
247020,278-291-2710
145607,043-743-0380
797804,033-118-3241
716108,841-615-3930
628880,825-117-6628
31056,953-680-5733
886156,391-176-7070
754408,606-458-4964
227712,311-213-0015
927172,276-699-1122
975012,643-026-5114
783588,494-243-2005
998443,709-607-3797
87484,229-505-5330
504626,224-485-4790
947483,144-548-4444
789684,617-324-3070
321004,213-889-3172
646060,165-883-8037
734549,326-436-4745
964359,443-638-4868
112539,559-429-7055
420859,469-494-7739
774086,922-444-8432
547984,597-628-2190
429307,411-349-8706
207922,077-997-8191
453300,090-504-2002
467084,669-113-4028
170540,361-143-7795
453809,598-299-1415
439577,390-156-0923
933026,695-060-9470
222995,133-789-6164
807495,946-113-2677
710330,284-693-3620
659258,826-470-0873
170675,773-935-3951
249140,847-492-7817
63101,368-133-3555
160431,413-559-8265
620670,804-145-6392
207692,136-104-7904
373236,769-042-8213
576428,528-270-0420
773903,201-166-9663
928357,262-033-3869
538099,731-033-0218
181397,832-793-8738
858710,510-669-0600
739267,922-132-4936
508990,840-144-5776
502233,735-663-7931
692543,893-058-2751
184711,860-784-0052
628438,182-227-7143
570407,070-450-3012
715111,063-913-4145
373470,031-784-4812
741638,354-130-5939
411775,575-515-6635
435523,090-605-3324
830992,627-350-7133
440633,607-933-4623
508029,562-131-7616
218407,571-663-5917
795969,271-906-1428
965742,176-901-6814
422113,576-430-1691
207254,061-488-1354
498870,182-904-5467
563947,943-209-1860
925693,577-507-0020
939322,428-923-9542
497633,129-269-1062
824596,912-866-1834
265214,346-178-6174
623979,092-448-2248
512397,644-474-3508
404033,454-509-8602
977536,012-984-8815
614838,155-876-0569
528119,830-895-0836
52784,955-834-0517
626528,484-625-2228
835807,200-985-0542
534624,159-702-5492
605647,639-710-5085
84591,753-827-6422
637128,889-575-5942
999256,088-433-6943
209905,785-519-8887
98539,545-080-8677
933335,640-047-7654
494126,649-124-6339
822751,124-290-9565
886092,606-087-3445
715754,632-484-4482
972737,391-190-0531
428965,359-239-5233
83401,895-278-0591
606671,402-747-3313
726177,444-921-5531
478043,294-690-5014
912363,440-041-7308
865768,425-648-9809
353202,057-916-9896
25977,154-164-1316
294450,796-995-7129
579023,203-406-8020
625037,425-301-1133
725573,461-767-1333
775977,137-513-3862
341500,813-930-0476
698693,225-249-2037
540621,880-638-9025
374152,120-812-3055
653591,394-160-4183
806904,445-933-4251
250222,490-612-1791
83511,552-970-9071
279000,856-887-1462
317823,998-823-8545
789491,063-762-7115
635236,999-450-3165
646888,747-903-0190
533672,882-629-2698
921137,686-819-4457
20607,443-295-6797
180037,734-909-7727
566887,167-397-0581
503483,163-873-1344
862634,837-335-5551
722804,530-789-8075
191516,812-581-3899
909392,190-549-3520
174528,968-967-9520
285797,415-848-5656
874375,819-659-2125
862055,272-567-6292
214186,417-636-7686
222336,094-801-2476
257548,939-089-5921
501995,156-275-5304
206980,085-586-9971
957095,414-116-6625
861227,355-975-9740
292298,179-817-9258
259973,711-176-9330
676818,633-372-7842
888693,451-308-5610
282247,214-734-2536
895399,852-837-9310
883789,801-412-7639
770179,187-312-1109
81247,528-866-2086
131853,462-830-2768
38437,659-998-5248
996783,665-601-6077
154097,087-360-0792
88409,835-440-5884
871719,205-455-5982
143102,318-146-6328
2415,648-054-8407
894060,354-800-8270
73357,764-132-3073
424731,246-703-6153
309691,785-863-8155
539555,471-796-3729
986941,182-769-6410
19852,630-859-7984
886530,124-506-3978
208118,475-920-8120
17913,899-715-2932
101714,428-997-4929
461712,162-041-9772
344010,626-595-3922
480064,456-079-1062
442669,261-424-9904
948815,589-681-3221
833070,773-877-4051
902395,078-745-8459
997656,479-869-6056
44423,365-954-3118
144519,102-794-0023
990427,143-159-8075
956265,707-867-9686
311075,619-357-2796
459584,416-334-8627
807950,488-493-5382
812323,208-262-9635
320351,786-584-5630
382897,983-838-1438
542404,996-977-6354
630685,296-948-7807
745960,185-036-4605
777441,886-584-9063
299337,923-288-9240
211514,729-344-0506
233016,532-578-4794
235420,614-838-3120
169236,567-669-3831
680421,060-100-6628
413292,340-291-3439
556951,619-352-4241
743048,618-466-1088
701988,061-751-9825
842601,099-233-6463
610699,043-744-4423
38598,489-493-1913
18011,974-246-9936
360219,609-472-9127
604969,828-883-7092
379812,136-851-8357
406511,942-876-1781
771464,212-773-4533
702011,033-778-2019
957357,783-801-3797
213172,333-061-8942
785783,419-982-4912
371254,568-444-2674
14504,041-900-2449
815352,655-945-4863
861336,506-530-1932
670796,941-669-2850
90950,521-387-8413
383251,588-534-1084
170827,116-865-7533
824654,996-886-4895
554952,750-062-6863
691283,470-014-6916
8290,764-729-4959
866927,827-345-0751
929404,638-387-2467
43209,318-738-0383
296577,315-176-7825
547746,504-480-7027
917996,368-317-3426
549108,944-530-5708
382209,295-425-3167
144161,004-131-6601
432118,735-067-6268
671730,145-115-0199
981067,107-771-6389
197839,165-032-9244
724967,890-382-3059
178945,159-163-6690
138124,362-860-4222
504382,235-670-1686
26305,084-797-6895
669729,422-204-1896
632392,956-788-4576
479460,457-584-1847
215142,358-084-2005
218577,362-796-7867
978740,004-192-9360
816936,537-402-0878
159240,572-753-6054
304305,597-042-4594
30279,767-506-9224
922210,775-115-3320
686753,158-813-5057
562894,510-976-1988
757463,956-984-5556
564296,262-419-2744
796918,606-485-7401
462971,836-098-3340
710513,339-115-7620
674343,057-574-0301
361372,120-711-0956
333041,413-638-2877
223484,091-917-9455
322246,716-534-3668
571255,759-383-7090
238098,019-802-7862
946683,274-313-7721
565366,269-277-2360
355841,930-203-2723
556197,460-535-3103
34134,316-224-5164
63027,643-657-9561
48667,691-889-4708
416128,793-384-4359
667618,006-883-4458
188612,035-378-6558
356635,281-676-3300
715985,358-592-8737
180709,705-124-6358
715452,494-884-4235
883305,880-284-2836
381777,325-264-5831
571357,493-226-2273
578973,979-750-8987
45044,673-113-7366
346762,476-357-3432
816606,157-149-0733
428697,774-343-9288
890823,769-170-4184
696568,717-228-9537
466099,266-404-2406
159558,676-545-3344
393102,859-780-1333
303205,347-659-9900
68904,660-473-6746
746271,666-836-0759
841927,257-847-5826
495445,169-643-4124
963562,517-316-1100
909785,818-481-9086
611331,314-927-7549
961611,427-294-7215
929970,079-173-9394
541739,329-272-1321
430587,875-802-8598
778256,203-744-2632
148523,324-943-9350
203025,831-387-2568
459217,956-491-1511
984845,347-525-0146
715765,347-574-0495
768337,632-513-4784
921157,127-688-0804
